a0, a1, a2, a3, a4, a5, b0, b1, b2, b3, b4, b5, Time, jerkCost, accelCost, VelocityCost, safetyDistanceCost, AccMin, AccMax, VelMin, VelMax, KappaMin, KappaMax, AccCost, VelCost, KappaCost, SaferyDistCost, LaneOffsetCost
2164.63, 20, -9.10323e-55, 1.01147e-54, -3.16085e-55, 0, -9.61731, 0.595113, 0.672075, -0.162019, -0.0115484, 0.00372, 1.2, 0, 0, 0, 0, -3.61328, 1.94863, 19.8113, 20.1583, 6.24385e-07, 5.98039e-06, 0.35206, 0.225723, 0, 2, 0
2169.03, 20, -3.34544e-55, 7.43431e-55, -4.64644e-55, 0, -9.4556, 0.866852, 0.562185, -0.20677, 0.0112894, 0.00130512, 0.6, 0, 0, 0, 0, -1.95279, 1.25665, 19.9121, 20.1108, 1.56091e-06, 4.71533e-06, 0.131733, 0.209421, 0, 2.20003, 0
2173.03, 20, -4.41555e-68, 2.9437e-67, -5.51944e-67, 0, -9.26138, 1.06729, 0.440936, -0.221344, 0.0249897, -0.000287229, 0.2, 0, 0, 0, 0, -0.51471, 0.17526, 20.0005, 20.0428, 2.47095e-06, 3.1673e-06, 0.0147822, 0.198714, 0, 2.30004, 0
2177.43, 20, 1.64722e-83, -1.09815e-82, 2.05902e-82, 0, -9.00754, 1.23022, 0.302076, -0.217962, 0.0341939, -0.00151429, 0.2, 0, 0, 0, 0, 0.975873, 1.30509, 20.0914, 20.1135, 1.14945e-06, 1.72169e-06, 0.13278, 0.119952, 0, 2.30004, 0
2182.23, 20, 7.31512e-99, -4.87675e-98, 9.1439e-98, 0, -8.69778, 1.33942, 0.156752, -0.198317, 0.0387449, -0.00233822, 0.2, 0, 0, 0, 0, 1.65716, 1.89804, 20.1362, 20.1508, 2.71103e-07, 5.41169e-07, 0.317437, 0.0875782, 0, 2.30005, 0
2186.63, 20, 3.24857e-114, -2.16571e-113, 4.06071e-113, 0, -8.39755, 1.38122, 0.0368652, -0.170988, 0.0390829, -0.00271401, 0.2, 0, 0, 0, 0, 2.17596, 2.39894, 20.1669, 20.179, 1.53856e-08, 8.35035e-08, 0.524486, 0.0675244, 0, 2.20002, 0
2191.03, 20, 1.44265e-129, -9.61769e-129, 1.80332e-128, 0, -8.09363, 1.37424, -0.0649262, -0.139517, 0.0369331, -0.00282258, 0.2, 0, 0, 0, 0, 2.65685, 2.86437, 20.1922, 20.2021, 1.71068e-09, 2.28067e-08, 0.763174, 0.0529852, 0, 2.20002, 0
2195.83, 20, 6.40667e-145, -4.27111e-144, 8.00833e-144, 0, -7.76936, 1.32096, -0.153004, -0.104146, 0.0327589, -0.00272203, 0.2, 0, 0, 0, 0, 3.1447, 3.33835, 20.2147, 20.2229, 6.79004e-08, 9.61155e-08, 1.05168, 0.740684, 0, 0, 0
2199.83, 20, -2.54924e-157, 1.69949e-156, -3.18655e-156, 0, -7.51207, 1.24829, -0.207848, -0.0759631, 0.0284674, -0.00252103, 0.2, 0, 0, 0, 0, 3.52723, 3.71175, 20.2305, 20.2377, 1.10972e-07, 1.12781e-07, 1.31092, 0.708772, 0, 0, 0
2204.23, 20, 2.58763e-172, -1.23221e-172, 1.65028e-173, 0, -7.24824, 1.14699, -0.249985, -0.0475948, 0.0233624, -0.00222136, 2.8, 0, 0, 0, 0, -0.696761, 4.45176, 19.9646, 20.2651, 1.10429e-10, 8.09575e-07, 1.35256, 0.816328, 0, 0, 0
