Acc, Kappa
-0.191143, 0.00297335
0.00824409, 0.00272112
0.167665, 0.00246774
0.288127, 0.00221354
0.370776, 0.00195818
0.419606, 0.00167817
0.468772, 0.00142004
0.31596, 0.00105966
0.239565, 0.000549796
0.204472, -1.45464e-05
-0.0507199, -0.000538718
-0.300273, -0.00106782
-0.300463, -0.00160067
-0.300347, -0.00208804
-0.29963, -0.00262671
0.403982, -0.0019778
0.40345, -0.00125914
0.0449475, -0.000548944
-0.191613, 9.08907e-05
-0.492317, 0.000845029
-0.451741, 0.00158695
-0.693449, 0.00225462
-0.788813, 0.00255319
-0.127146, 0.00232703
-0.127154, 0.00207937
-0.127024, 0.00185179
-0.12682, 0.00162386
-0.126567, 0.00137491
-0.126354, 0.00114646
0.102763, 0.00115756
0.272458, 0.00136024
0.396262, 0.0015463
0.507745, 0.00176669
0.568178, 0.00195389
0.637963, 0.00215821
0.659402, 0.00234626
0.113679, 0.00206685
0.0561496, 0.00133246
0.0196792, 0.000451577
-0.0291828, -0.000304519
-0.435775, -0.00114139
-0.43652, -0.00198788
-0.436797, -0.00277222
0.172175, -0.00326312
0.172555, -0.00295085
0.172478, -0.00261115
0.172114, -0.00230131
0.171601, -0.00199333
0.171051, -0.00168736
0.170561, -0.00138341
0.170207, -0.00108129
0.14709, -0.000766146
-0.0605626, -0.000507609
-0.193539, -0.000249596
-0.269471, 6.70533e-06
-0.348498, 0.000261806
-0.434019, 0.000514549
-0.533192, 0.000764882
-0.467271, 0.00101217
-0.350005, 0.00123546
-0.502367, 0.00138666
-0.28662, 0.00138033
-0.00334009, 0.00137421
-0.00323387, 0.00136829
-0.00312745, 0.00136255
-0.00302084, 0.001357
-0.00291403, 0.00135165
0.15359, 0.00134648
0.186373, 0.00132258
0.263444, 0.00114637
0.3057, 0.000953179
0.314625, 0.000774639
0.30418, 0.000594871
0.313603, 0.000413916
0.307449, 0.000231799
0.311892, 4.85326e-05
0.33257, -0.000152473
0.220094, -0.000428718
0.176011, -0.000691823
-0.150491, -0.000957128
-0.150715, -0.00124787
-0.150928, -0.00154001
-0.151046, -0.00178448
-0.144729, -0.00044075
0.269807, 0.000287878
0.288585, 0.00105637
0.295317, 0.00135568
-0.0317485, 0.00142442
-0.351609, 0.00137938
-0.558443, 0.00127441
