s, d, v, x, y,t
408.935,6.00629,49.3901,1184.85,1186.77,22.2327
410.261,6.00153,49.3765,1186.18,1186.84,22.2807
411.145,5.99846,49.3901,1187.06,1186.88,22.3328
412.47,5.99369,49.3901,1188.38,1186.95,22.3807
413.354,5.99061,49.3765,1189.27,1186.99,22.4287
414.68,5.98586,49.3901,1190.59,1187.06,22.4807
415.564,5.98266,49.4999,1191.47,1187.1,22.5287
416.89,5.97802,49.3765,1192.8,1187.17,22.5807
417.774,5.97482,49.4999,1193.68,1187.21,22.6328
419.099,5.97018,49.3901,1195.01,1187.28,22.6848
420.425,5.96542,49.3765,1196.33,1187.34,22.7368
421.309,5.96234,49.3901,1197.21,1187.39,22.7847
422.193,5.95914,49.4856,1198.1,1187.43,22.8327
423.519,5.95438,49.3908,1199.42,1187.5,22.8847
424.845,5.94974,49.3901,1200.74,1187.56,22.9407
425.729,5.94654,49.3765,1201.63,1187.61,22.9927
438.36,6.01248,49.3901,1202.95,1187.67,23.0407
437.476,5.99824,49.3901,1203.83,1187.72,23.0887
436.151,5.97693,49.3772,1205.16,1187.78,23.1407
435.267,5.96282,49.3901,1206.04,1187.83,23.1927
433.941,5.94151,49.3908,1207.37,1187.89,23.2449
432.873,5.92227,49.3712,1208.69,1187.96,23.2967
433.757,5.91011,49.3848,1209.57,1188,23.3487
435.083,5.89282,49.3848,1210.9,1188.06,23.4007
435.966,5.88262,49.3797,1211.78,1188.1,23.4527
437.292,5.87033,49.3749,1213.1,1188.16,23.5048
438.618,5.86211,49.4751,1214.43,1188.21,23.5567
439.5,5.85797,49.3654,1215.31,1188.25,23.6088
440.826,5.85572,49.4667,1216.63,1188.29,23.6607
442.151,5.85637,49.4631,1217.96,1188.34,23.7207
443.033,5.8582,49.3403,1218.84,1188.37,23.7727
444.359,5.86499,49.4562,1220.17,1188.4,23.8247
445.242,5.87173,49.4398,1221.05,1188.43,23.8727
446.566,5.88751,49.4482,1222.37,1188.45,23.9207
447.448,5.89923,49.3393,1223.26,1188.47,23.9728
448.773,5.92102,49.4443,1224.58,1188.5,24.0208
449.655,5.93871,49.3336,1225.46,1188.51,24.0688
450.98,5.96953,49.4402,1226.79,1188.52,24.1208
451.862,5.99125,49.3173,1227.67,1188.53,24.1727
453.186,6.02805,49.4386,1228.99,1188.54,24.2247
465.125,6.41654,49.4383,1230.32,1188.54,24.2768
464.242,6.38624,49.4383,1231.2,1188.55,24.3247
462.918,6.34507,49.4383,1232.53,1188.54,24.3768
462.035,6.3188,49.4383,1233.41,1188.54,24.4248
460.711,6.28349,49.33,1234.73,1188.54,24.4767
460.218,6.26124,49.4392,1235.62,1188.53,24.5288
461.542,6.23103,49.4402,1236.94,1188.52,24.5807
462.425,6.21284,49.4413,1237.83,1188.51,24.6328
463.75,6.18652,49.4413,1239.15,1188.49,24.6807
464.633,6.17029,49.4427,1240.03,1188.48,24.7327
465.958,6.148,49.4443,1241.36,1188.46,24.7847
467.283,6.12767,49.4443,1242.68,1188.44,24.8448
468.607,6.11041,49.3393,1244.01,1188.41,24.8967
469.491,6.09817,49.4464,1244.89,1188.4,24.9448
470.815,6.08384,49.328,1246.22,1188.37,25.0008
471.7,6.07368,49.4485,1247.1,1188.35,25.0527
473.025,6.06237,49.3442,1248.42,1188.32,25.1047
474.35,6.05106,49.3442,1249.75,1188.29,25.1607
475.233,6.04483,49.3442,1250.63,1188.27,25.2127
476.559,6.03852,49.3471,1251.96,1188.23,25.2609
477.443,6.03629,49.4597,1252.84,1188.2,25.3128
478.768,6.03294,49.3501,1254.17,1188.16,25.3608
479.652,6.03278,49.4631,1255.05,1188.14,25.4088
480.977,6.03249,49.3539,1256.37,1188.1,25.4567
481.861,6.03221,49.4631,1257.26,1188.07,25.5087
483.186,6.03191,49.3535,1258.58,1188.03,25.5608
484.07,6.03175,49.4494,1259.47,1188,25.6128
485.395,6.03145,49.3539,1260.79,1187.95,25.6607
486.279,6.03117,49.4494,1261.67,1187.93,25.7087
487.604,6.03087,49.3539,1263,1187.88,25.7607
488.489,6.03059,49.4626,1263.88,1187.86,25.8087
489.814,6.03039,49.4631,1265.21,1187.82,25.8608
501.254,6.09952,49.4631,1266.09,1187.79,25.9128
499.928,6.08176,49.4631,1267.41,1187.74,25.9608
499.045,6.0699,49.4626,1268.3,1187.72,26.0089
497.719,6.05214,49.4626,1269.62,1187.67,26.0607
496.836,6.04041,49.4631,1270.51,1187.65,26.1128
496.521,6.02265,49.4631,1271.83,1187.61,26.1647
497.404,6.01079,49.3535,1272.71,1187.58,26.2167
498.73,5.99304,49.449,1274.04,1187.54,26.2647
500.055,5.97528,49.4626,1275.36,1187.49,26.3167
500.939,5.96355,49.4494,1276.25,1187.46,26.3647
501.822,5.95168,49.3539,1277.13,1187.44,26.4127
503.148,5.93393,49.4631,1278.45,1187.39,26.4608
504.031,5.92219,49.3539,1279.34,1187.37,26.5127
505.357,5.90541,49.4667,1280.66,1187.32,26.5607
506.24,5.89562,49.3575,1281.55,1187.29,26.6087
507.566,5.88177,49.4662,1282.87,1187.25,26.6607
508.449,5.87296,49.3613,1283.75,1187.22,26.7087
509.774,5.8633,49.3654,1285.08,1187.17,26.7568
510.658,5.85851,49.4794,1285.96,1187.13,26.8087
511.983,5.8547,49.3743,1287.29,1187.08,26.8568
512.866,5.85398,49.3797,1288.17,1187.04,26.9089
514.19,5.8573,49.3901,1289.49,1186.97,26.9607
515.073,5.86255,49.3827,1290.37,1186.93,27.0087
516.398,5.87379,49.3878,1291.69,1186.86,27.0647
517.282,5.88307,49.4083,1292.58,1186.81,27.1127
518.606,5.90142,49.3129,1293.9,1186.73,27.1607
519.489,5.9166,49.3189,1294.78,1186.68,27.2087
520.813,5.94398,49.4431,1296.1,1186.59,27.2607
521.696,5.96526,49.4507,1296.98,1186.53,27.3087
523.02,5.99964,49.4448,1298.3,1186.43,27.3607
523.903,6.02481,49.4665,1299.18,1186.37,27.4087
