s, d
5026.11,-9.7606
5033.25,-9.7618
5040.4,-9.75898
5047.54,-9.75927
5054.26,-9.75803
5059.71,-9.76102
5065.17,-9.76055
5071.05,-9.76344
5079.03,-9.7616
5086.59,-9.75961
5094.15,-9.76249
5102.13,-9.76081
5109.69,-9.7634
5117.25,-9.76055
5124.81,-9.76053
5132.37,-9.76048
5139.93,-9.762
5147.49,-9.76256
5155.47,-9.76112
5163.03,-9.76134
5170.59,-9.76034
5177.73,-9.76217
5184.88,-9.75919
5192.43,-9.76256
5199.57,-9.7627
5207.13,-9.76098
5213.86,-9.75998
5220.57,-9.76151
5227.71,-9.76177
5234.43,-9.76119
5241.57,-9.76146
5248.3,-9.76008
5256.69,-9.76219
5267.19,-9.76068
5277.27,-9.76299
5287.35,-9.76194
5297.85,-9.76013
5307.93,-9.76254
5318.01,-9.76144
5328.51,-9.76183
5338.59,-9.76058
5348.67,-9.76087
5357.92,-9.75975
5367.57,-9.76268
5376.39,-9.7608
5385.21,-9.76163
5393.19,-9.76089
5401.59,-9.76166
5409.57,-9.7617
5417.55,-9.76099
5425.53,-9.76305
5433.09,-9.76117
5441.07,-9.76178
5450.31,-9.76116
5460.81,-9.76053
5471.74,-9.76098
5483.08,-9.76104
5493.99,-9.76084
5504.92,-9.76062
5516.25,-9.76094
5527.17,-9.76181
5538.1,-9.76161
5548.17,-9.76181
5558.67,-9.76097
5568.33,-9.76143
5578,-9.76103
5587.65,-9.76175
5597.31,-9.76151
5607.39,-9.76141
5617.05,-9.76116
5626.7,-9.76184
5635.93,-9.76105
5645.14,-9.76106
5653.91,-9.76168
5662.64,-9.76145
5672.59,-9.76087
5681.25,-9.7614
5689.85,-9.76133
5698.79,-9.76184
5707.24,-9.7617
5715.64,-9.75177
5724,-9.62265
5731.95,-9.31933
5741.89,-8.74476
5751.05,-8.12866
5760.21,-7.52495
5769.77,-6.98186
5779.75,-6.54763
5790.53,-6.23107
5798.93,-6.08102
5807.72,-5.99049
5816.52,-5.97056
5824.54,-5.97116
5833.4,-5.97171
5841.48,-5.97023
5850.03,-5.97058
5858.62,-5.97037
5867.66,-5.97048
5876.76,-5.97154
5885.87,-5.9692
5894.62,-5.97108
5902.54,-5.96962
5910.07,-5.96974
5917.19,-5.97245
5923.9,-5.96949
5930.2,-5.96936
5937.35,-5.97187
5944.07,-5.96956
5951.24,-5.97274
5957.97,-5.96895
5965.57,-5.97262
5972.74,-5.97237
5979.91,-5.97148
5987.08,-5.97064
5994.26,-5.97053
6001.86,-5.97125
6009.88,-5.97072
6017.48,-5.97154
6025.08,-5.97256
6032.25,-5.97105
6039.01,-5.97232
6045.76,-5.97017
6052.09,-5.97255
